,borough,neighbourhood,superhost
212,Manhattan,Midtown,True
213,Manhattan,Midtown,False
214,Manhattan,Midtown,False
215,Manhattan,Midtown,False
216,Manhattan,Midtown,False
217,Manhattan,Midtown,False
218,Manhattan,Midtown,False
219,Manhattan,Midtown,False
220,Manhattan,Midtown,False
221,Manhattan,Midtown,False
222,Manhattan,Midtown,True
223,Manhattan,Midtown,False
224,Manhattan,Midtown,False
225,Manhattan,Midtown,False
226,Manhattan,Midtown,False
227,Manhattan,Midtown,False
228,Manhattan,Midtown,False
229,Manhattan,Midtown,False
230,Manhattan,Midtown,False
231,Manhattan,Midtown,False
232,Manhattan,Midtown,False
233,Manhattan,Midtown,False
234,Manhattan,Midtown,False
235,Manhattan,Midtown,False
236,Manhattan,Midtown,False
237,Manhattan,Midtown,False
238,Manhattan,Midtown,False
239,Manhattan,Midtown,True
240,Manhattan,Midtown,False
241,Manhattan,Midtown,False
242,Manhattan,Midtown,False
243,Manhattan,Midtown,False
244,Manhattan,Midtown,False
245,Manhattan,Midtown,False
246,Manhattan,Midtown,True
247,Manhattan,Midtown,True
248,Manhattan,Midtown,False
249,Manhattan,Midtown,False
250,Manhattan,Midtown,False
251,Manhattan,Midtown,False
252,Manhattan,Midtown,False
253,Manhattan,Midtown,False
254,Manhattan,Midtown,False
255,Manhattan,Midtown,False
256,Manhattan,Midtown,False
257,Manhattan,Midtown,False
258,Manhattan,Midtown,False
259,Manhattan,Midtown,False
260,Manhattan,Midtown,False
261,Manhattan,Midtown,False
262,Manhattan,Midtown,True
263,Manhattan,Midtown,False
264,Manhattan,Midtown,False
265,Manhattan,Midtown,False
266,Manhattan,Midtown,False
267,Manhattan,Midtown,False
268,Manhattan,Midtown,False
269,Manhattan,Midtown,False
270,Manhattan,Midtown,False
271,Manhattan,Midtown,False
272,Manhattan,Midtown,False
273,Manhattan,Midtown,True
274,Manhattan,Midtown,False
275,Manhattan,Midtown,False
276,Manhattan,Midtown,True
277,Manhattan,Midtown,False
278,Manhattan,Midtown,False
279,Manhattan,Midtown,False
280,Manhattan,Midtown,False
281,Manhattan,Midtown,True
282,Manhattan,Midtown,True
283,Manhattan,Midtown,False
284,Manhattan,Midtown,False
285,Manhattan,Midtown,True
286,Manhattan,Midtown,False
287,Manhattan,Midtown,False
288,Manhattan,Midtown,False
289,Manhattan,Midtown,False
290,Manhattan,Midtown,True
291,Manhattan,Midtown,False
292,Manhattan,Midtown,False
293,Manhattan,Midtown,False
294,Manhattan,Midtown,False
295,Manhattan,Midtown,False
296,Manhattan,Midtown,False
297,Manhattan,Midtown,False
298,Manhattan,Midtown,False
299,Manhattan,Midtown,False
300,Manhattan,Midtown,False
301,Manhattan,Midtown,False
302,Manhattan,Midtown,False
303,Manhattan,Midtown,False
304,Manhattan,Midtown,False
305,Manhattan,Midtown,True
306,Manhattan,Midtown,False
307,Manhattan,Midtown,False
308,Manhattan,Midtown,False
309,Manhattan,Midtown,False
310,Manhattan,Midtown,False
311,Manhattan,Midtown,False
312,Manhattan,Midtown,False
313,Manhattan,Midtown,True
314,Manhattan,Midtown,False
315,Manhattan,Midtown,False
316,Manhattan,Midtown,True
317,Manhattan,Midtown,False
318,Manhattan,Midtown,False
319,Manhattan,Midtown,False
320,Manhattan,Midtown,False
321,Manhattan,Midtown,False
322,Manhattan,Midtown,False
323,Manhattan,Midtown,True
324,Manhattan,Midtown,True
325,Manhattan,Midtown,False
326,Manhattan,Midtown,False
327,Manhattan,Midtown,False
328,Manhattan,Midtown,False
329,Manhattan,Midtown,True
330,Manhattan,Midtown,False
331,Manhattan,Midtown,True
332,Manhattan,Midtown,False
333,Manhattan,Midtown,False
334,Manhattan,Midtown,False
335,Manhattan,Midtown,False
336,Manhattan,Midtown,False
337,Manhattan,Midtown,False
338,Manhattan,Midtown,False
339,Manhattan,Midtown,True
340,Manhattan,Midtown,True
341,Manhattan,Midtown,False
342,Manhattan,Midtown,False
343,Manhattan,Midtown,False
344,Manhattan,Midtown,False
345,Manhattan,Midtown,False
346,Manhattan,Midtown,False
347,Manhattan,Midtown,False
348,Manhattan,Midtown,False
349,Manhattan,Midtown,True
350,Manhattan,Midtown,True
351,Manhattan,Midtown,True
352,Manhattan,Midtown,True
353,Manhattan,Midtown,True
354,Manhattan,Midtown,False
355,Manhattan,Midtown,False
356,Manhattan,Midtown,True
357,Manhattan,Midtown,True
358,Manhattan,Midtown,True
359,Manhattan,Midtown,False
360,Manhattan,Midtown,False
361,Manhattan,Midtown,True
362,Manhattan,Midtown,False
363,Manhattan,Midtown,False
364,Manhattan,Midtown,False
365,Manhattan,Midtown,False
366,Manhattan,Midtown,False
367,Manhattan,Midtown,True
368,Manhattan,Midtown,True
369,Manhattan,Midtown,True
370,Manhattan,Midtown,True
371,Manhattan,Midtown,False
372,Manhattan,Midtown,False
373,Manhattan,Midtown,False
374,Manhattan,Midtown,False
375,Manhattan,Midtown,False
376,Manhattan,Midtown,False
377,Manhattan,Midtown,True
378,Manhattan,Midtown,False
379,Manhattan,Midtown,False
380,Manhattan,Midtown,False
381,Manhattan,Midtown,False
382,Manhattan,Midtown,False
383,Manhattan,Midtown,False
384,Manhattan,Midtown,False
385,Manhattan,Midtown,False
386,Manhattan,Midtown,False
387,Manhattan,Midtown,False
388,Manhattan,Midtown,False
389,Manhattan,Midtown,False
390,Manhattan,Midtown,False
391,Manhattan,Midtown,False
392,Manhattan,Midtown,False
393,Manhattan,Midtown,False
394,Manhattan,Midtown,False
395,Manhattan,Midtown,False
396,Manhattan,Midtown,False
397,Manhattan,Midtown,False
398,Manhattan,Midtown,False
399,Manhattan,Midtown,True
400,Manhattan,Midtown,True
401,Manhattan,Midtown,True
402,Manhattan,Midtown,True
403,Manhattan,Midtown,True
404,Manhattan,Midtown,True
405,Manhattan,Midtown,True
406,Manhattan,Midtown,True
407,Manhattan,Midtown,True
408,Manhattan,Midtown,True
409,Manhattan,Midtown,True
410,Manhattan,Midtown,True
411,Manhattan,Midtown,True
412,Manhattan,Midtown,True
413,Manhattan,Midtown,False
414,Manhattan,Midtown,True
415,Manhattan,Midtown,True
416,Manhattan,Midtown,False
417,Manhattan,Midtown,False
418,Manhattan,Midtown,False
419,Manhattan,Midtown,False
420,Manhattan,Midtown,True
421,Manhattan,Midtown,True
422,Manhattan,Midtown,False
423,Manhattan,Midtown,False
424,Manhattan,Midtown,False
425,Manhattan,Midtown,False
426,Manhattan,Midtown,False
427,Manhattan,Midtown,True
428,Manhattan,Midtown,False
429,Manhattan,Midtown,False
430,Manhattan,Midtown,False
431,Manhattan,Midtown,False
432,Manhattan,Midtown,True
433,Manhattan,Midtown,False
434,Manhattan,Midtown,False
435,Manhattan,Midtown,False
436,Manhattan,Midtown,True
437,Manhattan,Midtown,False
438,Manhattan,Midtown,False
439,Manhattan,Midtown,False
440,Manhattan,Midtown,False
441,Manhattan,Midtown,False
442,Manhattan,Midtown,False
443,Manhattan,Midtown,False
444,Manhattan,Midtown,True
445,Manhattan,Midtown,False
446,Manhattan,Midtown,False
447,Manhattan,Midtown,False
448,Manhattan,Midtown,False
449,Manhattan,Midtown,False
450,Manhattan,Midtown,False
451,Manhattan,Midtown,False
452,Manhattan,Midtown,False
453,Manhattan,Midtown,False
454,Manhattan,Midtown,True
455,Manhattan,Midtown,False
456,Manhattan,Midtown,False
457,Manhattan,Midtown,False
458,Manhattan,Midtown,False
459,Manhattan,Midtown,False
460,Manhattan,Midtown,False
461,Manhattan,Midtown,False
462,Manhattan,Midtown,False
463,Manhattan,Midtown,False
464,Manhattan,Midtown,False
465,Manhattan,Midtown,False
466,Manhattan,Midtown,False
467,Manhattan,Midtown,False
468,Manhattan,Midtown,False
469,Manhattan,Midtown,False
470,Manhattan,Midtown,True
471,Manhattan,Midtown,False
472,Manhattan,Midtown,True
473,Manhattan,Midtown,True
474,Manhattan,Midtown,False
475,Manhattan,Midtown,False
476,Manhattan,Midtown,False
477,Manhattan,Midtown,False
478,Manhattan,Midtown,False
479,Manhattan,Midtown,False
480,Manhattan,Midtown,False
481,Manhattan,Midtown,False
482,Manhattan,Midtown,False
483,Manhattan,Midtown,False
484,Manhattan,Midtown,True
