,id,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews,superhost,borough,neighbourhood,room_type
406,27252114,115,3,40.7592,-73.9627,1,135,0,1,Manhattan,Midtown,Entire home/apt
407,27274799,115,3,40.75526,-73.9638,1,185,0,1,Manhattan,Midtown,Entire home/apt
408,27277569,115,3,40.7538,-73.9631,1,300,0,1,Manhattan,Midtown,Entire home/apt
409,27384626,115,3,40.75755,-73.9691,1,235,0,1,Manhattan,Midtown,Entire home/apt
410,27385411,115,3,40.76623,-73.983,1,320,0,1,Manhattan,Midtown,Entire home/apt
411,27385494,115,3,40.76547,-73.9823,1,495,0,1,Manhattan,Midtown,Entire home/apt
412,27387238,115,3,40.75384,-73.9676,1,200,0,1,Manhattan,Midtown,Entire home/apt
414,27579698,115,3,40.75328,-73.9729,1,353,7,1,Manhattan,Midtown,Entire home/apt
415,27579844,115,3,40.75228,-73.9732,1,353,4,1,Manhattan,Midtown,Entire home/apt
420,28313785,115,3,40.76515,-73.9812,1,178,62,1,Manhattan,Midtown,Entire home/apt
421,28324221,115,3,40.75355,-73.9717,1,139,19,1,Manhattan,Midtown,Entire home/apt
427,28888147,115,3,40.75952,-73.9638,1,235,65,1,Manhattan,Midtown,Entire home/apt
432,29259580,115,3,40.75271,-73.9707,1,265,26,1,Manhattan,Midtown,Entire home/apt
436,29560068,115,3,40.76058,-73.9661,1,80,0,1,Manhattan,Midtown,Entire home/apt
444,29916697,115,3,40.75264,-73.9724,1,355,0,1,Manhattan,Midtown,Entire home/apt
454,30315888,115,3,40.76018,-73.9636,1,110,3,1,Manhattan,Midtown,Entire home/apt
470,30950513,115,3,40.76254,-73.975,1,749,6,1,Manhattan,Midtown,Entire home/apt
471,31001555,115,3,40.76024,-73.9735,1,599,1,1,Manhattan,Midtown,Entire home/apt
472,31019621,115,3,40.76069,-73.9754,1,1499,1,1,Manhattan,Midtown,Entire home/apt
484,32058864,115,3,40.75584,-73.9811,1,600,0,1,Manhattan,Midtown,Entire home/apt
491,33187617,115,3,40.76038,-73.9655,1,75,3,1,Manhattan,Midtown,Entire home/apt
506,34093881,115,3,40.75445,-73.9917,1,147,59,1,Manhattan,Midtown,Entire home/apt
508,34493247,115,3,40.76518,-73.9794,1,150,4,1,Manhattan,Midtown,Entire home/apt
523,35229243,115,3,40.75558,-73.9687,1,400,20,1,Manhattan,Midtown,Entire home/apt
524,35231370,115,3,40.75955,-73.9663,1,150,0,1,Manhattan,Midtown,Entire home/apt
530,35595716,115,3,40.75397,-73.9686,1,400,24,1,Manhattan,Midtown,Entire home/apt
532,35603965,115,3,40.75666,-73.9656,1,82,10,1,Manhattan,Midtown,Entire home/apt
533,35604447,115,3,40.74225,-73.9838,1,170,43,1,Manhattan,Midtown,Entire home/apt
537,35839537,115,3,40.74829,-73.9866,1,479,31,1,Manhattan,Midtown,Entire home/apt
540,36077537,115,3,40.76343,-73.9809,1,198,43,1,Manhattan,Midtown,Entire home/apt
541,36104174,115,3,40.75666,-73.9655,1,155,10,1,Manhattan,Midtown,Entire home/apt
544,36417250,115,3,40.75168,-73.9733,1,369,0,1,Manhattan,Midtown,Entire home/apt
545,36517175,115,3,40.75178,-73.973,1,369,3,1,Manhattan,Midtown,Entire home/apt
546,36612306,115,3,40.75666,-73.9656,1,180,11,1,Manhattan,Midtown,Entire home/apt
548,36783928,115,3,40.74598,-73.9842,1,59,25,1,Manhattan,Midtown,Entire home/apt
551,36913011,115,3,40.76022,-73.966,1,150,1,1,Manhattan,Midtown,Entire home/apt
553,37013390,115,3,40.76448,-73.9811,1,625,1,1,Manhattan,Midtown,Entire home/apt
562,37653631,115,3,40.75938,-73.9632,1,135,4,1,Manhattan,Midtown,Entire home/apt
569,38291768,115,3,40.75481,-73.9664,1,295,15,1,Manhattan,Midtown,Entire home/apt
575,38667973,115,3,40.75468,-73.9628,1,250,0,1,Manhattan,Midtown,Entire home/apt
600,39646352,115,3,40.75933,-73.9634,1,125,4,1,Manhattan,Midtown,Entire home/apt
616,40403662,115,3,40.75939,-73.9657,1,979,22,1,Manhattan,Midtown,Entire home/apt
624,40745955,115,3,40.75265,-73.9724,1,559,0,1,Manhattan,Midtown,Entire home/apt
640,40969893,115,3,40.75257,-73.9725,1,407,0,1,Manhattan,Midtown,Entire home/apt
641,40985898,115,3,40.75257,-73.9725,1,379,0,1,Manhattan,Midtown,Entire home/apt
644,41082801,115,3,40.74621,-73.9872,1,119,10,1,Manhattan,Midtown,Entire home/apt
648,41107092,115,3,40.74691,-73.987,1,99,4,1,Manhattan,Midtown,Entire home/apt
649,41109712,115,3,40.7462,-73.9873,1,99,4,1,Manhattan,Midtown,Entire home/apt
650,41127989,115,3,40.74643,-73.9873,1,99,11,1,Manhattan,Midtown,Entire home/apt
651,41131891,115,3,40.76145,-73.9689,1,113,24,1,Manhattan,Midtown,Entire home/apt
652,41133580,115,3,40.7483,-73.9871,1,95,4,1,Manhattan,Midtown,Entire home/apt
653,41134098,115,3,40.74649,-73.9876,1,95,1,1,Manhattan,Midtown,Entire home/apt
654,41153731,115,3,40.74691,-73.9876,1,80,0,1,Manhattan,Midtown,Entire home/apt
655,41153993,115,3,40.74776,-73.987,1,95,5,1,Manhattan,Midtown,Entire home/apt
656,41154365,115,3,40.74792,-73.9888,1,90,2,1,Manhattan,Midtown,Entire home/apt
657,41181646,115,3,40.76438,-73.9821,1,225,0,1,Manhattan,Midtown,Entire home/apt
669,41518452,115,3,40.74535,-73.9864,1,84,1,1,Manhattan,Midtown,Entire home/apt
671,41531671,115,3,40.7483,-73.9875,1,99,8,1,Manhattan,Midtown,Entire home/apt
678,41689138,115,3,40.74666,-73.9882,1,66,48,1,Manhattan,Midtown,Entire home/apt
679,41764151,115,3,40.7482,-73.9868,1,982,3,1,Manhattan,Midtown,Entire home/apt
683,41852572,115,3,40.75945,-73.9631,1,139,8,1,Manhattan,Midtown,Entire home/apt
684,41856757,115,3,40.75236,-73.9715,1,957,0,1,Manhattan,Midtown,Entire home/apt
685,41905845,115,3,40.76417,-73.9846,1,257,0,1,Manhattan,Midtown,Entire home/apt
