year,month,borough_id,neighbourhood_id,room_type_id,price
2017,1,3,101,1,178.0
2017,1,3,101,2,108.625
2017,1,3,102,1,167.13217611314306
2017,1,3,102,2,83.83446671045367
2017,1,3,102,4,46.53225806451613
2017,1,3,103,1,243.78100154259414
2017,1,3,103,2,103.9764152303399
2017,1,3,103,4,88.49382716049382
2017,1,3,104,1,272.9116654647991
2017,1,3,104,2,103.41735907461714
2017,1,3,104,4,59.645161290322584
2017,1,3,105,1,238.7031848659004
2017,1,3,105,2,165.0
2017,1,3,106,1,227.91550813469283
2017,1,3,106,2,100.75654761904761
2017,1,3,107,1,221.58648545532327
2017,1,3,107,2,123.60416666666667
2017,1,3,108,1,176.44356044422747
2017,1,3,108,2,80.60707422023157
2017,1,3,108,4,123.83333333333334
2017,1,3,109,1,201.8771006623975
2017,1,3,109,2,110.97532344092687
2017,1,3,109,4,78.33333333333334
2017,1,3,110,1,104.5
2017,1,3,110,2,62.794305474630825
2017,1,3,110,4,33.0
2017,1,3,111,1,213.55534150080385
2017,1,3,111,2,129.9231097456904
2017,1,3,111,4,77.05797101449275
2017,1,3,112,1,197.68727895667553
2017,1,3,112,2,135.83333333333331
2017,1,3,113,1,201.74979910707754
2017,1,3,113,2,275.548884292249
2017,1,3,113,4,120.0
2017,1,3,114,1,141.0
2017,1,3,115,1,284.41406416081554
2017,1,3,115,2,249.5249329060508
2017,1,3,115,3,261.1111111111111
2017,1,3,116,1,146.012987012987
2017,1,3,116,2,94.08659003831417
2017,1,3,117,1,233.48106060606062
2017,1,3,117,2,105.25564516129032
2017,1,3,117,4,121.1
2017,1,3,118,1,248.75
2017,1,3,119,1,225.6843317191774
2017,1,3,119,2,98.55468148369984
2017,1,3,119,4,65.0
2017,1,3,120,1,747.75
2017,1,3,120,2,95.0
2017,1,3,121,1,328.6479723434396
2017,1,3,121,2,124.32582888550303
2017,1,3,121,4,100.0
2017,1,3,122,1,80.875
2017,1,3,122,2,99.74871794871795
2017,1,3,123,1,260.24635176651304
2017,1,3,123,2,133.4867801785786
2017,1,3,123,3,738.8162393162394
2017,1,3,123,4,73.80645161290323
2017,1,3,124,1,503.2950191570882
2017,1,3,124,2,97.35483870967742
2017,1,3,125,1,99.33333333333333
2017,1,3,125,2,100.32000000000001
2017,1,3,126,1,191.7957934869311
2017,1,3,126,2,114.49022477877458
2017,1,3,126,4,88.55555555555554
2017,1,3,127,1,253.22199521312385
2017,1,3,127,2,121.5522972563547
2017,1,3,127,4,111.1790592203898
2017,1,3,128,1,118.48930433365918
2017,1,3,128,2,64.86030294898714
2017,1,3,128,4,46.94252873563219
2017,1,3,129,1,264.3687826134589
2017,1,3,129,2,110.62288786482335
2017,1,3,129,4,106.33333333333331
2017,1,4,130,1,183.60662525879917
2017,1,4,130,2,72.38390804597701
2017,1,4,131,1,114.35806856481999
2017,1,4,131,2,72.59995444222639
2017,1,4,131,4,40.0
2017,1,4,132,1,187.22222222222226
2017,1,4,132,2,37.5
2017,1,4,134,1,136.1
2017,1,4,134,2,99.0
2017,1,4,135,2,225.0
2017,1,4,136,2,92.8
2017,1,4,138,2,62.75
2017,1,4,139,2,54.19540229885058
