listing_id,day of week,price
16326,Tuesday,274.6938775510204
16326,Wednesday,274.6938775510204
16338,Friday,52.6
16338,Monday,52.3469387755102
16338,Saturday,52.55102040816327
16338,Sunday,52.6530612244898
16338,Thursday,52.55102040816327
16338,Tuesday,52.3469387755102
16338,Wednesday,52.3469387755102
16580,Friday,82.84
16580,Monday,81.59183673469387
16580,Saturday,82.3061224489796
16580,Sunday,80.87755102040816
16580,Thursday,82.73469387755102
16580,Tuesday,81.6734693877551
16580,Wednesday,82.0204081632653
16595,Friday,220.0
16595,Monday,220.0
16595,Saturday,220.0
16595,Sunday,220.0
16595,Thursday,220.0
16595,Tuesday,220.0
16595,Wednesday,220.0
16821,Friday,59.0
16821,Monday,59.0
16821,Saturday,59.0
16821,Sunday,59.0
16821,Thursday,59.0
16821,Tuesday,59.0
16821,Wednesday,59.0
16974,Friday,248.0
16974,Monday,245.91836734693877
16974,Saturday,248.46938775510205
16974,Sunday,243.87755102040816
16974,Thursday,244.3877551020408
16974,Tuesday,246.42857142857142
16974,Wednesday,246.42857142857142
17037,Friday,250.0
17037,Monday,250.0
17037,Saturday,250.0
17037,Sunday,250.0
17037,Thursday,250.0
17037,Tuesday,250.0
17037,Wednesday,250.0
17693,Friday,65.0
17693,Monday,65.0
17693,Saturday,65.0
17693,Sunday,65.0
17693,Thursday,65.0
17693,Tuesday,65.0
17693,Wednesday,65.0
17747,Friday,95.0
17747,Monday,95.0
17747,Saturday,95.0
17747,Sunday,95.0
17747,Thursday,95.0
17747,Tuesday,95.0
17747,Wednesday,95.0
18127,Friday,190.0
18127,Monday,170.0
18127,Saturday,190.0
18127,Sunday,170.0
18127,Thursday,170.0
18127,Tuesday,170.0
18127,Wednesday,170.0
18195,Friday,70.0
18195,Monday,70.0
18195,Saturday,70.0
18195,Sunday,70.0
18195,Thursday,70.0
18195,Tuesday,70.0
18195,Wednesday,70.0
18198,Friday,55.0
18198,Monday,55.0
18198,Saturday,55.0
18198,Sunday,55.0
18198,Thursday,55.0
18198,Tuesday,55.0
18198,Wednesday,55.0
18728,Friday,151.0
18728,Monday,150.0
18728,Saturday,151.0204081632653
18728,Sunday,151.0204081632653
18728,Thursday,150.0
18728,Tuesday,150.0
18728,Wednesday,150.0
18764,Friday,145.0
18764,Monday,145.0
18764,Saturday,145.0
18764,Sunday,145.0
18764,Thursday,145.0
18764,Tuesday,145.0
18764,Wednesday,145.0
18961,Friday,95.0
18961,Monday,95.0
18961,Saturday,95.0
18961,Sunday,95.0
18961,Thursday,95.0
18961,Tuesday,95.0
18961,Wednesday,95.0
19159,Friday,110.0
19159,Monday,110.0
19159,Saturday,110.0
19159,Sunday,110.0
19159,Thursday,110.0
19159,Tuesday,110.0
19159,Wednesday,110.0
19282,Friday,130.0
19282,Monday,130.0
19282,Saturday,130.0
19282,Sunday,130.0
19282,Thursday,130.0
19282,Tuesday,130.0
19282,Wednesday,130.0
19812,Friday,105.0
19812,Monday,105.0
19812,Saturday,105.0
19812,Sunday,105.0
19812,Thursday,105.0
19812,Tuesday,105.0
19812,Wednesday,105.0
20611,Friday,85.0
20611,Monday,85.0
20611,Saturday,85.0
20611,Sunday,85.0
20611,Thursday,85.0
20611,Tuesday,85.0
20611,Wednesday,85.0
20717,Friday,85.0
20717,Monday,85.0
20717,Saturday,85.0
20717,Sunday,85.0
20717,Thursday,85.0
20717,Tuesday,85.0
20717,Wednesday,85.0
20724,Friday,50.0
20724,Monday,50.0
20724,Saturday,50.0
20724,Sunday,50.0
20724,Thursday,50.0
20724,Tuesday,50.0
20724,Wednesday,50.0
20755,Friday,98.0
20755,Monday,98.0
20755,Saturday,98.0
20755,Sunday,98.0
20755,Thursday,98.0
20755,Tuesday,98.0
20755,Wednesday,98.0
20913,Friday,95.84
20913,Monday,95.71428571428571
20913,Saturday,95.71428571428571
20913,Sunday,95.71428571428571
20913,Thursday,96.16326530612245
20913,Tuesday,95.71428571428571
20913,Wednesday,95.71428571428571
21456,Friday,108.22
21456,Monday,107.77551020408163
21456,Saturday,107.57142857142857
21456,Sunday,107.77551020408163
21456,Thursday,108.08163265306122
21456,Tuesday,107.95918367346938
21456,Wednesday,108.08163265306122
21644,Friday,99.0
21644,Monday,99.0
21644,Saturday,99.0
21644,Sunday,99.0
21644,Thursday,99.0
21644,Tuesday,99.0
21644,Wednesday,99.0
21794,Friday,85.0
21794,Monday,85.0
21794,Saturday,85.0
21794,Sunday,85.0
21794,Thursday,85.0
21794,Tuesday,85.0
21794,Wednesday,85.0
23135,Friday,135.44
23135,Monday,134.46938775510205
23135,Saturday,134.46938775510205
23135,Sunday,134.46938775510205
23135,Thursday,135.12244897959184
23135,Tuesday,135.08163265306123
23135,Wednesday,135.08163265306123
23545,Friday,200.0
23545,Monday,200.0
23545,Saturday,200.0
23545,Sunday,200.0
23545,Thursday,200.0
23545,Tuesday,200.0
23545,Wednesday,200.0
23686,Friday,499.38
23686,Monday,500.0
23686,Saturday,500.0
23686,Sunday,500.0
23686,Thursday,500.0
23686,Tuesday,500.0
23686,Wednesday,500.0
24285,Friday,209.6
24285,Monday,209.3877551020408
24285,Saturday,209.3877551020408
24285,Sunday,209.3877551020408
24285,Thursday,209.3877551020408
24285,Tuesday,209.3877551020408
24285,Wednesday,209.3877551020408
25235,Friday,110.0
25235,Monday,110.0
25235,Saturday,110.0
25235,Sunday,110.0
25235,Thursday,110.0
25235,Tuesday,110.0
25235,Wednesday,110.0
25406,Friday,92.0
25406,Monday,80.0
25406,Saturday,92.0
25406,Sunday,80.0
25406,Thursday,80.0
25406,Tuesday,80.0
25406,Wednesday,80.0
25696,Friday,101.5
25696,Monday,100.0
25696,Saturday,101.53061224489795
25696,Sunday,101.53061224489795
25696,Thursday,100.0
25696,Tuesday,100.0
25696,Wednesday,100.0
26012,Friday,200.0
26012,Monday,200.0
26012,Saturday,200.0
26012,Sunday,200.0
26012,Thursday,200.0
26012,Tuesday,200.0
26012,Wednesday,200.0
26362,Friday,76.72
26362,Monday,75.44897959183673
26362,Saturday,74.79591836734694
26362,Sunday,75.24489795918367
26362,Thursday,75.65306122448979
26362,Tuesday,75.44897959183673
26362,Wednesday,75.53061224489795
26520,Friday,98.0
26520,Monday,98.0
26520,Saturday,98.0
26520,Sunday,98.0
26520,Thursday,98.0
26520,Tuesday,98.0
26520,Wednesday,98.0
26785,Friday,90.0
26785,Monday,90.0
26785,Saturday,90.0
26785,Sunday,90.0
26785,Thursday,90.0
26785,Tuesday,90.0
26785,Wednesday,90.0
26969,Friday,203.0
26969,Monday,200.0
26969,Saturday,203.0612244897959
26969,Sunday,203.0612244897959
26969,Thursday,200.0
26969,Tuesday,200.0
26969,Wednesday,200.0
27006,Friday,225.0
27006,Monday,225.0
27006,Saturday,225.0
27006,Sunday,225.0
27006,Thursday,225.0
27006,Tuesday,225.0
27006,Wednesday,225.0
27644,Friday,170.0
27644,Monday,170.0
27644,Saturday,170.0
27644,Sunday,170.0
27644,Thursday,170.0
27644,Tuesday,170.0
27644,Wednesday,170.0
27759,Friday,170.0
27759,Monday,170.0
27759,Saturday,170.0
27759,Sunday,170.0
27759,Thursday,170.0
27759,Tuesday,170.0
27759,Wednesday,170.0
27883,Friday,100.0
27883,Monday,100.0
27883,Saturday,100.0
27883,Sunday,100.0
27883,Thursday,100.0
27883,Tuesday,100.0
27883,Wednesday,100.0
28907,Friday,150.0
28907,Monday,150.0
28907,Saturday,150.0
28907,Sunday,150.0
28907,Thursday,150.0
28907,Tuesday,150.0
28907,Wednesday,150.0
29013,Friday,70.0
29013,Monday,70.0
29013,Saturday,70.0
29013,Sunday,70.0
29013,Thursday,70.0
29013,Tuesday,70.0
29013,Wednesday,70.0
29628,Friday,89.0
29628,Monday,89.0
29628,Saturday,89.0
29628,Sunday,89.0
29628,Thursday,89.0
29628,Tuesday,89.0
29628,Wednesday,89.0
29683,Friday,162.8
29683,Monday,161.53061224489795
29683,Saturday,160.71428571428572
29683,Sunday,160.71428571428572
29683,Thursday,162.3469387755102
29683,Tuesday,161.53061224489795
29683,Wednesday,161.53061224489795
30031,Friday,49.84
30031,Monday,49.816326530612244
30031,Saturday,49.83673469387755
30031,Sunday,49.816326530612244
30031,Thursday,49.714285714285715
30031,Tuesday,49.795918367346935
30031,Wednesday,49.795918367346935
31130,Friday,131.02
31130,Monday,131.6734693877551
31130,Saturday,131.0408163265306
31130,Sunday,131.0408163265306
31130,Thursday,131.6734693877551
31130,Tuesday,131.6734693877551
31130,Wednesday,131.3673469387755
31555,Friday,100.02
31555,Monday,100.0
31555,Saturday,100.06122448979592
31555,Sunday,100.0
31555,Thursday,100.0
31555,Tuesday,100.0
31555,Wednesday,100.06122448979592
31902,Friday,88.0
31902,Monday,77.0
31902,Saturday,88.0
31902,Sunday,77.0
31902,Thursday,77.0
31902,Tuesday,77.0
31902,Wednesday,77.0
31994,Friday,82.7
31994,Monday,81.24489795918367
31994,Saturday,82.57142857142857
31994,Sunday,81.22448979591837
31994,Thursday,81.22448979591837
31994,Tuesday,81.22448979591837
31994,Wednesday,81.22448979591837
32023,Friday,125.0
32023,Monday,125.0
32023,Saturday,125.0
32023,Sunday,125.0
32023,Thursday,125.0
32023,Tuesday,125.0
32023,Wednesday,125.0
32037,Friday,150.0
32037,Monday,135.0
32037,Saturday,150.0
32037,Sunday,135.0
32037,Thursday,135.0
32037,Tuesday,135.0
32037,Wednesday,135.0
32329,Friday,160.0
32329,Monday,160.0
32329,Saturday,160.0
32329,Sunday,160.0
32329,Thursday,160.0
32329,Tuesday,160.0
32329,Wednesday,160.0
32363,Friday,70.0
32363,Monday,70.0
32363,Saturday,70.0
32363,Sunday,70.0
32363,Thursday,70.0
32363,Tuesday,70.0
32363,Wednesday,70.0
32965,Friday,115.0
32965,Monday,115.0
32965,Saturday,115.0
32965,Sunday,115.0
32965,Thursday,115.0
32965,Tuesday,115.0
32965,Wednesday,115.0
33009,Friday,200.6
33009,Monday,200.30612244897958
33009,Saturday,200.71428571428572
33009,Sunday,200.30612244897958
33009,Thursday,200.30612244897958
33009,Tuesday,200.30612244897958
33009,Wednesday,200.30612244897958
33014,Friday,166.38
33014,Monday,166.0408163265306
33014,Saturday,164.89795918367346
33014,Sunday,164.18367346938774
33014,Thursday,167.12244897959184
33014,Tuesday,166.0408163265306
33014,Wednesday,166.0408163265306
33156,Friday,142.74
33156,Monday,142.59183673469389
33156,Saturday,142.81632653061226
33156,Sunday,142.81632653061226
33156,Thursday,142.59183673469389
33156,Tuesday,142.59183673469389
33156,Wednesday,142.59183673469389
36442,Friday,121.0
36442,Monday,121.0
36442,Saturday,121.0
36442,Sunday,121.0
36442,Thursday,121.0
36442,Tuesday,121.0
36442,Wednesday,121.0
36647,Friday,61.92
36647,Monday,60.63265306122449
36647,Saturday,61.97959183673469
36647,Sunday,61.97959183673469
36647,Thursday,60.63265306122449
36647,Tuesday,60.63265306122449
36647,Wednesday,60.63265306122449
36703,Friday,200.0
36703,Monday,200.0
36703,Saturday,200.0
36703,Sunday,200.0
36703,Thursday,200.0
36703,Tuesday,200.0
36703,Wednesday,200.0
38663,Friday,650.0
38663,Monday,650.0
38663,Saturday,650.0
38663,Sunday,650.0
38663,Thursday,650.0
38663,Tuesday,650.0
38663,Wednesday,650.0
39267,Friday,99.0
39267,Monday,99.0
39267,Saturday,99.0
39267,Sunday,99.0
39267,Thursday,99.0
39267,Tuesday,99.0
39267,Wednesday,99.0
39282,Friday,51.2
39282,Monday,50.0
39282,Saturday,50.0
39282,Sunday,50.0
39282,Thursday,50.0
39282,Tuesday,50.0
39282,Wednesday,50.0
39572,Friday,139.0
39572,Monday,139.0
39572,Saturday,139.0
39572,Sunday,139.0
39572,Thursday,139.0
39572,Tuesday,139.0
39572,Wednesday,139.0
39586,Friday,110.0
39586,Monday,99.0
39586,Saturday,110.0
39586,Sunday,100.26530612244898
39586,Thursday,99.53061224489795
39586,Tuesday,99.0
39586,Wednesday,99.53061224489795
39593,Friday,73.6
39593,Monday,73.48979591836735
39593,Saturday,73.61224489795919
39593,Sunday,73.61224489795919
39593,Thursday,73.48979591836735
39593,Tuesday,73.48979591836735
39593,Wednesday,73.48979591836735
39704,Friday,135.0
39704,Monday,135.0
39704,Saturday,135.0
39704,Sunday,135.0
39704,Thursday,135.0
39704,Tuesday,135.0
39704,Wednesday,135.0
42300,Friday,450.0
42300,Monday,450.0
42300,Saturday,450.0
42300,Sunday,450.0
42300,Thursday,450.0
42300,Tuesday,450.0
42300,Wednesday,450.0
42729,Friday,134.38
42729,Monday,133.44897959183675
42729,Saturday,133.44897959183675
42729,Sunday,133.3877551020408
42729,Thursday,133.87755102040816
42729,Tuesday,133.87755102040816
42729,Wednesday,133.87755102040816
42882,Friday,70.0
42882,Monday,70.0
42882,Saturday,70.0
42882,Sunday,70.0
42882,Thursday,70.0
42882,Tuesday,70.0
42882,Wednesday,70.0
43726,Friday,289.88
43726,Monday,289.6734693877551
43726,Saturday,289.61224489795916
43726,Sunday,289.6326530612245
43726,Thursday,290.6734693877551
43726,Tuesday,289.6938775510204
43726,Wednesday,289.734693877551
44229,Friday,110.0
44229,Monday,110.0
44229,Saturday,110.0
44229,Sunday,110.0
44229,Thursday,110.0
44229,Tuesday,110.0
44229,Wednesday,110.0
44288,Friday,160.5
44288,Monday,158.6734693877551
44288,Saturday,159.69387755102042
44288,Sunday,158.6734693877551
44288,Thursday,159.69387755102042
44288,Tuesday,158.6734693877551
44288,Wednesday,159.18367346938774
45542,Friday,100.0
45542,Monday,100.0
45542,Saturday,100.0
45542,Sunday,100.0
45542,Thursday,100.0
45542,Tuesday,100.0
45542,Wednesday,100.0
45556,Friday,65.0
45556,Monday,65.0
45556,Saturday,65.0
45556,Sunday,65.0
45556,Thursday,65.0
45556,Tuesday,65.0
45556,Wednesday,65.0
45737,Friday,40.44
45737,Monday,40.42857142857143
45737,Saturday,40.42857142857143
45737,Sunday,40.42857142857143
45737,Thursday,40.46938775510204
45737,Tuesday,40.51020408163265
45737,Wednesday,40.55102040816327
45910,Friday,395.0
45910,Monday,395.0
45910,Saturday,395.0
45910,Sunday,395.0
45910,Thursday,395.0
45910,Tuesday,395.0
45910,Wednesday,395.0
45935,Friday,60.0
45935,Monday,60.0
45935,Saturday,60.0
45935,Sunday,60.0
45935,Thursday,60.0
45935,Tuesday,60.0
45935,Wednesday,60.0
45936,Friday,75.0
45936,Monday,75.0
45936,Saturday,75.0
45936,Sunday,75.0
45936,Thursday,75.0
45936,Tuesday,75.0
45936,Wednesday,75.0
46544,Friday,150.0
46544,Monday,150.0
46544,Saturday,150.0
46544,Sunday,150.0
46544,Thursday,150.0
46544,Tuesday,150.0
46544,Wednesday,150.0
46911,Friday,100.0
46911,Monday,100.0
46911,Saturday,100.0
46911,Sunday,100.0
46911,Thursday,100.0
46911,Tuesday,100.0
46911,Wednesday,100.0
47613,Friday,95.0
47613,Monday,75.0
47613,Saturday,95.0
47613,Sunday,75.0
47613,Thursday,75.0
47613,Tuesday,75.0
47613,Wednesday,75.0
48719,Friday,299.0
48719,Monday,149.0
48719,Saturday,299.0
48719,Sunday,149.0
48719,Thursday,149.0
48719,Tuesday,149.0
48719,Wednesday,149.0
50447,Friday,134.22
50447,Monday,134.08163265306123
50447,Saturday,134.20408163265307
50447,Sunday,134.08163265306123
50447,Thursday,134.18367346938774
50447,Tuesday,134.08163265306123
50447,Wednesday,134.08163265306123
51438,Friday,130.0
51438,Monday,130.0
51438,Saturday,130.0
51438,Sunday,130.0
51438,Thursday,130.0
51438,Tuesday,130.0
51438,Wednesday,130.0
51850,Friday,65.0
51850,Monday,65.0
51850,Saturday,65.0
51850,Sunday,65.0
51850,Thursday,65.0
51850,Tuesday,65.0
51850,Wednesday,65.0
53469,Friday,106.0
53469,Monday,108.0
53469,Saturday,106.0
53469,Sunday,108.0
53469,Thursday,108.0
53469,Tuesday,108.0
53469,Wednesday,108.0
53470,Friday,160.0
53470,Monday,170.0
53470,Saturday,160.0
53470,Sunday,170.0
53470,Thursday,170.0
53470,Tuesday,170.0
53470,Wednesday,170.0
53477,Friday,350.0
53477,Monday,350.0
53477,Saturday,350.0
53477,Sunday,350.0
53477,Thursday,350.0
53477,Tuesday,350.0
53477,Wednesday,350.0
53758,Friday,135.0
53758,Monday,99.0
53758,Saturday,135.0
53758,Sunday,99.0
