rates_id,neighbourhood_id,year,month,price
202095,5,2020,9,67
2020105,5,2020,10,67
2020115,5,2020,11,67
2020125,5,2020,12,67
201716,6,2017,1,102
201726,6,2017,2,109
201736,6,2017,3,112
201746,6,2017,4,116
201756,6,2017,5,117
201766,6,2017,6,115
201816,6,2018,1,96
201826,6,2018,2,96
201836,6,2018,3,107
201846,6,2018,4,108
201856,6,2018,5,110
201866,6,2018,6,119
201876,6,2018,7,117
201886,6,2018,8,85
201896,6,2018,9,84
2018106,6,2018,10,84
2018116,6,2018,11,84
2018126,6,2018,12,84
201916,6,2019,1,96
201926,6,2019,2,98
201936,6,2019,3,98
201946,6,2019,4,98
201956,6,2019,5,99
201966,6,2019,6,103
201976,6,2019,7,103
201986,6,2019,8,103
201996,6,2019,9,103
2019106,6,2019,10,103
2019116,6,2019,11,103
2019126,6,2019,12,103
202016,6,2020,1,110
202026,6,2020,2,110
202036,6,2020,3,110
202046,6,2020,4,111
202056,6,2020,5,112
202066,6,2020,6,112
202076,6,2020,7,112
202086,6,2020,8,112
202096,6,2020,9,112
2020106,6,2020,10,112
2020116,6,2020,11,112
2020126,6,2020,12,113
202116,6,2021,1,103
202126,6,2021,2,105
202136,6,2021,3,105
202146,6,2021,4,105
202156,6,2021,5,105
202166,6,2021,6,105
202176,6,2021,7,106
202186,6,2021,8,105
202196,6,2021,9,105
2021106,6,2021,10,106
2021116,6,2021,11,109
2021126,6,2021,12,110
201717,7,2017,1,44
201727,7,2017,2,44
201737,7,2017,3,44
201747,7,2017,4,44
201757,7,2017,5,44
201767,7,2017,6,44
201777,7,2017,7,44
201787,7,2017,8,44
201797,7,2017,9,44
2017107,7,2017,10,44
2017117,7,2017,11,44
2017127,7,2017,12,44
201817,7,2018,1,52
201827,7,2018,2,45
201837,7,2018,3,46
201847,7,2018,4,49
201857,7,2018,5,62
201867,7,2018,6,62
201877,7,2018,7,59
201887,7,2018,8,58
201897,7,2018,9,58
2018107,7,2018,10,50
2018117,7,2018,11,50
2018127,7,2018,12,50
201917,7,2019,1,59
201927,7,2019,2,62
201937,7,2019,3,63
201947,7,2019,4,64
201957,7,2019,5,65
201967,7,2019,6,65
201977,7,2019,7,65
201987,7,2019,8,66
201997,7,2019,9,66
2019107,7,2019,10,65
2019117,7,2019,11,66
2019127,7,2019,12,65
202017,7,2020,1,66
202027,7,2020,2,66
202037,7,2020,3,67
202047,7,2020,4,69
202057,7,2020,5,69
202067,7,2020,6,70
202077,7,2020,7,71
202087,7,2020,8,71
202097,7,2020,9,71
2020107,7,2020,10,71
2020117,7,2020,11,71
2020127,7,2020,12,70
202117,7,2021,1,56
202127,7,2021,2,55
202137,7,2021,3,55
202147,7,2021,4,55
