id,name,host_id,borough_id,neighbourhood_id,latitude,longitude,room_type_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,3,99,40.74008,-74.00271,2,85,30,36,1/19/2020,0.28,2,364
23135,House On Henry (3rd FLR Suite),11481,2,62,40.67967,-74.00154,1,125,30,259,2/3/2020,2.01,3,364
23545,Upper Upper West Side Townhouse 2bd/2ba,92411,3,108,40.82748,-73.95069,1,200,30,219,6/17/2019,1.68,1,0
23686,2000 SF 3br 2ba West Village outdoor living house,93790,3,129,40.73096,-74.00319,1,399,5,49,12/31/2019,0.48,2,267
24285,Beautiful Duplex Apartment,97797,2,87,40.66941,-73.98109,1,180,30,88,11/2/2018,0.69,1,365
25235,Large 2 Bedroom Great for Groups!,87773,2,52,40.68373,-73.92377,1,110,30,171,11/26/2020,1.33,2,365
25406,"Modern Brooklyn Apt., August sublet",105538,2,96,40.71459,-73.94844,1,83,30,29,5/26/2018,0.32,1,0
25696,"1,800 sq foot in luxury building",107628,3,108,40.8104,-73.94309,2,100,1,190,1/1/2020,1.54,1,364
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,2,79,40.68157,-73.98989,1,200,30,20,7/30/2019,0.17,1,137
26362,"Times Square, Safe, Clean and Cozy!",59734,3,109,40.75527,-73.99291,2,59,2,374,2/27/2020,2.9,1,355
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,2,63,40.68698,-73.96572,2,98,30,29,1/2/2020,0.25,5,335
26785,Park Slope Green Guest House,42273,2,93,40.66853,-73.98912,1,90,30,472,11/21/2020,3.69,2,275
26969,2 story family home in Williamsburg,115307,2,96,40.71942,-73.95748,1,243,30,343,10/31/2020,2.75,1,124
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,3,127,40.77823,-73.97637,1,225,30,28,7/12/2019,0.24,1,358
27644,Sugar Hill Rest Stop,119510,3,108,40.82754,-73.94919,1,170,2,209,12/15/2019,1.84,1,356
27759,apartment next to Central park,119900,3,127,40.77842,-73.97556,1,170,30,20,1/2/2020,0.16,1,295
27883,East Village Sanctuary,120223,3,103,40.72245,-73.98527,1,100,30,25,12/10/2011,0.2,1,0
28907,Garden studio in the Upper East Sid,124352,3,126,40.778,-73.94822,1,150,30,21,8/15/2017,0.16,1,337
29013,B & B Room 1,35935,2,52,40.68332,-73.9547,2,70,30,64,1/30/2020,0.51,3,164
29628,Sunny Room in New Condo,127608,2,63,40.68414,-73.96351,2,89,3,282,10/13/2020,2.2,1,364
29683,Stylish Apartment with office space Near SoHo!,125857,3,103,40.72392,-73.99143,1,145,30,111,11/20/2020,0.86,2,320
30031,NYC artists’ loft with roof deck,129352,2,81,40.73494,-73.9503,2,49,30,196,2/12/2020,1.62,1,0
31130,Most Central Location!,117287,3,127,40.76921,-73.98328,2,99,30,66,6/2/2020,0.52,3,365
31555,Luminous Beautiful West Village Studio,135619,3,129,40.73442,-74.00303,1,100,30,31,11/25/2020,0.26,1,51
31902,Sanctuary in East Flatbush,137292,2,75,40.63188,-73.93248,2,80,30,4,10/14/2019,0.03,1,178
31994,Room with En Suite Bathroom & Deck,137814,2,63,40.68818,-73.96383,2,80,2,469,10/26/2020,3.69,2,363
32023,Flat Macdonough,137974,2,52,40.68296,-73.93662,1,125,30,263,3/16/2020,2.09,2,190
32037,Huge Private  Floor at The Waverly,116599,2,63,40.68513,-73.96648,2,139,30,92,2/9/2020,0.73,3,364
32329,Fully Furnished Beautiful 1 Bedroom,139853,3,103,40.72895,-73.98377,1,160,14,3,8/19/2016,0.03,1,0
32363,Fully Furnished Basement Apartment,140025,4,148,40.74028,-73.83168,2,70,30,2,11/30/2020,0.02,1,10
32965,FLAT MACDONOUGH GARDEN,137974,2,52,40.68281,-73.93524,1,115,30,141,2/17/2020,1.57,2,170
33009,Retreat in Williamsburg,143027,2,96,40.71492,-73.95935,1,215,4,255,11/21/2020,2.01,1,334
33014,NYC Zen,143048,3,103,40.72354,-73.98295,1,125,1,34,8/15/2019,0.27,1,361
33156,"Sunny, Clean Zen Home w pr.Bath",128669,3,127,40.78849,-73.96883,1,150,120,20,10/14/2020,0.17,1,0
36442,Great location. Spacious 2BR near PROSPECT PARK,137432,2,88,40.67447,-73.96619,1,121,30,4,8/27/2018,0.04,1,344
36647,Private Bdrm/Bathrm. New! Elevator!,157798,3,102,40.79295,-73.93997,2,79,30,34,5/29/2017,0.27,1,123
36703,"Sunny, clean 1 bdrm in W. Village",158284,3,129,40.73226,-74.00401,1,200,30,136,3/5/2020,1.08,1,362
38663,Luxury Brownstone in Boerum Hill,165789,2,55,40.68559,-73.98094,1,650,3,23,12/31/2018,0.22,1,365
39267,CENTRAL PARK LOFT all for YOU,168417,3,126,40.77456,-73.95323,1,99,1,265,11/8/2020,2.47,2,291
39282,“Work-from-home” from OUR home.,168525,2,96,40.71088,-73.95055,2,65,4,223,11/29/2020,1.77,1,66
39572,1 br in a 2 br apt (Midtown West),169927,3,109,40.76233,-73.98854,2,139,30,44,1/3/2019,0.35,2,365
39586,Hudson view & near Central Park elegant room,12220,3,127,40.77953,-73.98829,2,102,1,181,3/31/2019,1.47,1,365
39593,A room of own with a Manhattan view,110506,4,179,40.74559,-73.92313,2,79,30,29,12/22/2019,0.23,1,173
39704,"Private, Large & Sunny 1BR w/W&D",170510,2,52,40.68306,-73.94659,1,135,30,337,12/12/2019,2.69,2,0
42300,Beautiful Lower East Side Loft,184755,3,113,40.71824,-73.99315,1,450,5,57,7/10/2017,0.45,1,363
42729,House On Henry (2nd FLR Suite),11481,2,90,40.67854,-74.00284,1,125,30,169,1/1/2020,1.35,3,365
42882,New York room with a view,185978,5,223,40.64633,-74.08156,2,70,2,176,12/31/2019,1.5,1,252
43726,"Apartment in Tribeca, NYC Panoramic VIEWS~",191091,3,124,40.71915,-74.01017,1,250,30,12,10/19/2020,0.87,1,166
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,2,76,40.69098,-73.97113,2,110,30,231,2/11/2020,1.86,2,365
44288,CO-VID IMMUNE! Entire studio in West Village,193637,3,129,40.73756,-74.00405,1,170,30,87,6/15/2020,0.69,1,365
45542,Clean and Cozy Harlem Apartment,202249,3,108,40.82374,-73.9373,1,100,30,18,12/17/2018,0.66,1,0
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,2,76,40.68834,-73.97578,2,65,2,253,11/25/2020,2.03,2,180
45737,Amazing West Village Apt,203444,3,129,40.74002,-74.00664,2,41,30,23,7/11/2015,0.19,1,163
45910,Beautiful Queens Brownstone! - 5BR,204539,4,173,40.70382,-73.89797,1,395,30,13,11/12/2019,0.12,6,365
45935,Room in Beautiful Townhouse.,204586,1,35,40.8064,-73.92395,2,60,30,0,,,1,83
45936,Couldn't Be Closer To Columbia Uni,867225,3,116,40.8063,-73.95985,2,75,31,129,3/4/2020,1.07,1,365
46544,Park Slope haven 15 mins from Soho,8198,2,87,40.67994,-73.97863,1,150,30,58,3/18/2020,0.48,1,224
46911,Large Room in private Brownstone in Park Slope,210746,2,88,40.67868,-73.97307,2,100,30,51,6/24/2019,0.41,3,280
47613,"BIG, COMFY ROOM W/YARD IN WILL-B",216191,2,96,40.71217,-73.94713,2,81,30,28,11/4/2013,0.23,5,365
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,3,113,40.71882,-73.98852,1,192,60,116,10/29/2019,0.95,1,0
50447,"Lovely Apt & Garden;  Legal; Amenities, Spotless",9744,2,79,40.66932,-73.98982,1,136,4,176,11/10/2020,1.43,3,352
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,3,126,40.77333,-73.95199,2,130,14,0,,,2,0
51850,( F) Excellent/Pvt Rm,27848,4,158,40.67144,-73.76501,2,65,30,53,9/3/2019,0.43,5,365
53469,cozy studio with parking spot,204539,4,167,40.71722,-73.87856,1,107,30,33,5/9/2015,0.27,6,365
53470,Clean and convenient 2BR apartment,204539,4,173,40.70234,-73.89816,2,167,30,6,10/8/2015,0.05,6,365
53477,3 floors of luxury!,204539,4,167,40.71546,-73.87854,1,350,30,20,8/9/2019,0.53,6,0
53758,ARTY BOHEMIAN PRVT ROOM,251176,3,103,40.72681,-73.98777,2,109,30,95,5/23/2018,0.77,1,0
54466,Beautiful Uptown Manhattan apartmnt,253385,3,108,40.80234,-73.95603,2,200,30,0,,,1,365
54508,Sml Rm  Brst  PSl great for longer stays Med/Stu,210746,2,88,40.6787,-73.97262,2,50,2,100,11/28/2020,8.6,3,0
54544,City Room - Private Penthouse Apt.,256161,3,108,40.81035,-73.94598,1,161,1,122,1/3/2020,1.01,5,365
54694,(H) Great Deal/Pvt Rm,27848,4,158,40.67144,-73.76501,2,65,30,62,1/1/2018,0.5,5,0
54860,Great apartment with private bathroom and entrance,258164,3,102,40.79958,-73.94275,2,100,5,228,3/20/2020,1.85,1,365
55982,Cozy 2 br in sunny Fort Greene apt,264928,2,76,40.68656,-73.97525,2,85,3,37,12/31/2018,0.3,1,0
56525,1 Bedroom Loft w/ Private Roof Deck,268014,2,81,40.729,-73.95829,1,245,30,74,10/26/2020,0.6,1,9
56859,City Room - Private & Comfy Bedroom,256161,3,108,40.81219,-73.94499,2,78,30,208,5/28/2020,1.71,5,356
57166,Elegant NYC Pad,272006,4,142,40.77185,-73.90502,1,119,30,39,9/30/2020,0.32,1,254
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,2,64,40.68926,-73.99386,1,109,30,242,10/21/2020,1.98,1,53
57468,"Modern, Large East Village Loft",239208,3,103,40.72821,-73.98701,1,140,30,205,6/23/2019,1.68,1,0
57618,"Great new apt, close to everything",274557,3,109,40.7672,-73.98508,1,250,3,109,10/29/2020,0.94,1,0
57754,Stylish Large SPARKLING Gramercy Loft!,275578,3,105,40.7403,-73.98498,1,257,2,124,10/29/2020,1.07,1,340
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,3,108,40.80931,-73.94343,2,157,3,264,10/26/2020,2.15,2,365
58059,Private Room on Historic Sugar Hill,277379,3,108,40.8251,-73.94287,2,41,1,524,12/10/2020,4.47,2,306
58062,South Slope Green,277394,2,97,40.65912,-73.9842,2,139,2,25,2/16/2020,0.25,1,365
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,3,120,40.76193,-73.9501,2,99,30,22,4/5/2020,0.3,1,19
59014,"Spacious 1BR, Adorable Clean Quiet",282927,3,113,40.72052,-73.98589,1,150,30,57,2/18/2020,0.47,1,361
59121,"Nice, clean, safe, convenient 3BR",204539,4,173,40.70411,-73.89934,1,186,30,2,11/1/2019,0.02,6,365
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,3,100,40.71756,-73.99503,1,130,7,24,11/27/2020,0.21,2,157
59855,One bedroom Apt. in NYC,288031,3,115,40.7589,-73.96991,1,250,30,82,1/5/2016,0.67,1,344
60164,"Beautiful, elegant 3 bed SOHO loft",289653,3,124,40.71947,-74.00372,1,500,30,106,1/2/2020,0.94,1,59
60457,Spacious Greenwich Village Apt,99212,3,107,40.73194,-73.99474,1,250,30,10,8/21/2019,0.09,1,0
60611,SpaHa Studio Monthly Rental,292204,3,102,40.79163,-73.94573,1,88,30,190,12/1/2020,1.62,2,365
60666,City Room - Private Luxury Suite,256161,3,108,40.8118,-73.94434,2,110,30,216,11/8/2020,1.78,5,0
60673,Private Room/bath Luxurious Harlem,249372,3,108,40.81583,-73.94707,2,125,30,3,10/20/2019,0.11,1,365
60680,"Sunny, Comfy, Spacious & Colorful in East Village",292630,3,103,40.72654,-73.98049,1,79,30,163,11/23/2020,1.34,1,365
60794,"Bright and spacious, garden below!",293394,3,127,40.80021,-73.96071,1,211,30,4,8/25/2017,0.04,1,0
61167,Colorful Private One Bedroom Apt,295760,3,112,40.71961,-73.9954,1,135,30,21,12/12/2015,0.17,1,0
61509,"Quiet, clean midtown apt w. elevato",23619,3,115,40.75749,-73.96897,1,110,200,92,4/30/2019,0.77,1,0
62264,Big Luminous Private Room - Williamsburg Bedford L,302936,2,96,40.72159,-73.96018,2,65,30,20,8/11/2017,0.17,1,0
62427,Great East Village Apartment Rental,303882,3,103,40.7268,-73.99079,1,130,30,61,12/23/2019,0.53,1,178
62430,BROWNSTONE SUNDRENCHED BEAUTY,197755,2,60,40.688,-73.9171,1,72,30,129,2/7/2020,1.86,1,69
62452,A SpeciaL!! Private Room in NY,303939,5,225,40.63536,-74.08537,2,30,30,213,4/25/2020,1.75,5,365
62461,B NYC Staten Alternative...,303939,5,225,40.63627,-74.08543,2,45,30,171,8/6/2020,1.43,5,358
62468,"Great Apt, Great Location",304081,3,127,40.79323,-73.97267,1,170,30,30,8/11/2018,0.26,1,365
62787,C Private Room By The Ferry,303939,5,225,40.63518,-74.08546,2,45,30,202,9/7/2020,1.67,5,357
62891,Smallest House In The Village,306545,3,103,40.72477,-73.98161,1,140,3,198,8/19/2020,1.63,2,0
62903,Beautiful modern studio apartment in heart of NYC,306605,3,99,40.74116,-73.99414,1,205,30,68,12/14/2019,0.64,1,89
62925,Beautiful Landmarked Duplex,306739,2,81,40.72945,-73.95511,1,285,3,130,9/25/2020,1.09,3,0
63320,D Private Che@p Room 2 Explore NYC,303939,5,223,40.63692,-74.08591,2,45,30,260,11/7/2020,7.03,5,0
63588,LL3,295128,1,8,40.81309,-73.85514,2,89,30,0,,,6,346
63610,DOMINIQUE'S NY mini efficiency pad* SANITIZED* wow,310670,1,13,40.881,-73.83511,1,92,2,44,6/28/2020,0.47,11,364
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,2,52,40.68236,-73.94314,1,135,30,268,12/8/2019,2.21,2,0
63693,Cottage in the Village,306545,3,103,40.72185,-73.98246,1,200,30,153,1/3/2020,1.27,2,0
63913,"Hosting Your  Sunny, Spacious NYC Room",312288,3,110,40.86648,-73.9263,2,64,30,1,6/30/2019,0.06,3,163
64000,Williamsburg loft bunk bed /6 floor l,312722,2,96,40.7069,-73.95467,2,33,31,14,1/7/2019,0.12,5,362
64015,Prime East Village 1 Bedroom,146944,3,103,40.72807,-73.98594,1,200,30,0,,,1,0
64107,BROOKLYN  STUDIO APARTMENT,313317,2,67,40.6778,-73.94339,2,100,3,308,1/3/2020,2.54,1,337
64314,cozy bedroom in lovely garden apt,314256,2,67,40.6761,-73.9529,2,75,30,50,2/22/2020,1.65,1,0
64365,Crown Heights Garden Apt.,314582,2,67,40.67586,-73.95155,2,60,30,244,12/23/2019,2.08,2,364
64837,ENJOY Downtown NYC!!,46978,3,103,40.72321,-73.98157,2,40,1,215,1/19/2020,1.78,2,0
65200,10 min from Manhattan!,318729,2,52,40.68027,-73.94433,2,36,30,80,2/8/2020,0.8,1,0
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,2,52,40.68276,-73.95264,2,75,5,63,1/5/2019,0.56,1,344
65425,Entire 2 Bedroom Apartment,314941,3,113,40.71856,-73.99307,1,65,2,1,12/21/2010,0.01,3,355
65615,Farmhouse Apartment in Williamsburg,320761,2,96,40.71069,-73.95175,1,85,10,56,9/5/2020,0.47,1,302
65660,Bright+Spacious Williamsburg Abode!,320538,2,96,40.70863,-73.94641,1,95,30,158,10/6/2020,1.31,1,174
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,3,108,40.82888,-73.94307,2,75,3,20,1/2/2019,0.21,1,101
65834,Beautiful 1 Bedroom Apt Park Slope,321934,2,87,40.67319,-73.97323,1,176,5,11,5/2/2013,0.09,1,324
65981,Lovely Manhattan Studio for Long Term Stays Only!,322729,3,126,40.77032,-73.95008,1,99,31,64,6/20/2020,0.54,1,230
66008,CHARMING CARROLL GARDENS APT.,322884,2,79,40.67819,-73.99266,1,190,30,68,3/22/2020,0.64,1,344
66251,East Village Loft with Piano & Patio,324460,3,103,40.72681,-73.98534,1,205,3,97,10/20/2020,1.41,1,74
66275,Lower East Side Magic Apartment Entire Apartment!!,314941,3,119,40.72078,-73.99418,1,116,1,133,11/26/2020,1.15,3,353
66718,West Harlem Home Base - Eco-Apt.,136227,3,108,40.81322,-73.95306,1,97,30,211,11/1/2020,1.79,1,223
66741,Charming Garden Apt in Park Slope,327673,2,87,40.67732,-73.98225,1,150,30,250,3/16/2020,2.08,1,105
66974,"Lovely, Modern, Garden Apartment",329436,2,79,40.68076,-73.9896,1,170,2,98,10/25/2020,0.94,2,311
67151,Clean & Private Social Distancing 4 BD (Top Floor),327033,4,173,40.70148,-73.91139,1,110,31,1,9/24/2012,0.01,2,177
67288,Central Park 1BR sunny condo,101597,3,102,40.79544,-73.94836,1,102,28,31,10/11/2020,0.31,1,328
67299,Cozy Garden Apartment  in Williamsburg,330347,2,96,40.71492,-73.96282,1,70,30,64,11/20/2020,0.54,1,39
67397,SoHa comfort-by NW Central Park!,332189,3,108,40.80332,-73.95741,2,122,30,105,12/31/2019,0.89,1,0
68253,Room in the heart of Astoria,67730,4,131,40.76336,-73.92099,2,55,30,0,,,1,344
68305,Your Home Away From Home,338454,3,108,40.83035,-73.94933,2,75,30,66,10/12/2019,0.59,1,365
68735,Prewar Penthouse w Private Terrace,342054,3,127,40.78971,-73.9729,1,199,30,33,3/16/2020,0.29,1,362
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,282655,2,62,40.67817,-73.99495,1,250,4,140,11/25/2020,1.45,4,293
68900,Bright Beautiful Brooklyn,343250,2,81,40.73119,-73.95578,2,100,30,7,10/26/2019,0.09,1,362
68974,Unique spacious loft on the Bowery,281229,3,112,40.71943,-73.99627,1,611,3,216,9/1/2020,1.81,1,358
69894,"Nice renovated apt, prime location!",352168,3,127,40.78,-73.98249,1,140,30,51,10/6/2020,0.49,1,50
71248,Bright and lovely 1 bdrm apt in LES,363834,3,100,40.71659,-73.98945,1,120,25,50,10/23/2020,0.42,2,69
71366,Beautiful One Bed West Village - 4 Month Special,364955,3,129,40.72966,-74.00243,1,200,30,42,4/2/2020,0.4,1,0
71384,Gigantic Private Brooklyn Loft!,365153,2,81,40.72898,-73.95552,1,229,1,50,5/13/2014,0.42,1,344
71812,Condo Apartment with Laundry and Assigned Parking,369015,1,20,40.87207,-73.90193,1,90,30,8,7/16/2020,0.28,2,364
72190,1BR: See Central Park from Terrace!,373085,3,127,40.77728,-73.97818,1,110,30,37,2/15/2019,0.32,1,0
74073,Food & Music Dream Apartment in Williamsburg,211877,2,96,40.71113,-73.96054,1,170,5,91,9/29/2020,0.79,1,287
74240,French Garden cottage off Bedford,389924,2,96,40.71903,-73.9597,1,99,4,70,12/22/2019,0.59,1,242
74333,Alcove Studio w/ outdoor Patio Deck,331328,3,102,40.80892,-73.93985,1,80,30,36,7/21/2020,0.32,3,358
74680,One Bedroom Mini studio - Free WIFI,265109,4,131,40.77635,-73.93426,1,119,30,226,8/23/2020,1.95,1,344
74821,Deluxe Harlem 2 Bedroom,394640,3,108,40.80648,-73.9487,1,149,30,47,1/3/2019,0.4,1,85
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,2,81,40.72488,-73.95018,1,75,30,3,10/30/2019,0.03,1,0
75635,Bright Cozy Chinatown Studio Apt.,401696,3,113,40.71876,-73.98394,1,150,30,321,3/14/2020,2.69,1,364
76761,"Sun-Filled, Warm, and Spacious 2-BR w/WFH Nook",118971,2,93,40.66552,-73.99019,1,162,30,436,11/22/2020,3.71,1,35
77765,Superior @ Box House,417504,2,81,40.73777,-73.95366,3,179,30,38,9/20/2019,0.32,27,331
80493,Cozy room in East Village with AC,434987,3,113,40.72182,-73.98568,2,55,2,200,8/8/2020,1.72,1,0
80684,Duplex w/ Terrace @ Box House Hotel,417504,2,81,40.73756,-73.9535,3,349,30,8,3/27/2016,0.07,27,331
80700,Loft w/ Terrace @ Box House Hotel,417504,2,81,40.73777,-73.95366,2,349,30,7,5/24/2019,0.06,27,331
80924,Spacious 3 Bedroom Duplex in Park Slope,438133,2,87,40.67542,-73.98142,1,69,30,37,2/18/2020,0.44,2,0
81739,Loft w/ Terrace @ Box House Hotel,417504,2,81,40.73777,-73.95366,2,249,30,2,5/12/2011,0.02,27,331
82549,Columbia Castle in Brooklyn Heights,448312,2,58,40.6926,-73.99832,2,100,1,67,12/8/2019,0.59,2,0
